Subdivision,Circle,POLICE STATION,Accident type,Death,Grievous,Minor,Driver,Passenger,Pedestrian,Cyclist,Otherpersons,Motorised,Non Motorised,Longitude,Latitude,Trafic  Violation,AS
Kozhikode North,Med. College,Med. College,Grevious Injury,0,1,0,2,0,0,0,0,2,0,75.81182,11.264664,No Violation,1
Kozhikode North,Med. College,Med. College,Grevious Injury,0,1,0,2,0,0,0,0,2,0,75.81182,11.264664,Over Speeding,1
Kozhikode North,Chevayur,Chevayur,Non Injury,0,0,0,2,0,0,0,0,2,0,75.8342529,11.2956927,Over Speeding,0
Kozhikode North,Chevayur,Chevayur,Non Injury,0,0,0,2,0,0,0,0,2,0,75.8342529,11.2956927,No Violation,0
Kozhikode North,Chevayur,Chevayur,Grevious Injury,0,2,0,1,2,0,0,0,1,0,75.848068,11.335368,Over Speeding,2
Kozhikode South,Kasaba Kozhikode,Panniyankara,Grevious Injury,0,1,0,1,0,1,0,0,1,0,75.801592,11.214077,Over Speeding,1
Kozhikode South,Kasaba Kozhikode,Kasaba Kozhikode,Non Injury,0,0,0,2,0,0,0,0,2,0,75.786013,11.259342,Unknown,0
Kozhikode South,Kasaba Kozhikode,Kasaba Kozhikode,Non Injury,0,0,0,2,0,0,0,0,2,0,75.786013,11.259342,No Violation,0
Kozhikode South,Kasaba Kozhikode,Panniyankara,Grevious Injury,0,1,0,1,0,1,0,0,1,0,75.791298,11.22664,Over Speeding,1
Kozhikode North,Nadakkave,Nadakkave,Grevious Injury,0,1,0,2,1,0,0,0,2,0,75.800071,11.287131,No Violation,1
Kozhikode North,Nadakkave,Nadakkave,Grevious Injury,0,1,0,2,1,0,0,0,2,0,75.800071,11.287131,Driving on Wrong Side,1
Kozhikode North,Chevayur,Chevayur,Grevious Injury,0,1,1,2,1,0,0,0,2,0,75.7738651,11.302207,No Violation,1.5
Kozhikode North,Chevayur,Chevayur,Grevious Injury,0,1,1,2,1,0,0,0,2,0,75.7738651,11.302207,Over Speeding,1.5
